product_name,product_description,product_price
Data Science Course,Comprehensive course covering data science fundamentals.,499.99
Data Analysis Course,Learn techniques for analyzing and interpreting data.,299.99
AI Course,Explore artificial intelligence concepts and applications.,399.99
SQL Course,Master SQL for data retrieval and management.,199.99
ML Course,Understand machine learning algorithms and their implementation.,249.99
Web Development Course,Build dynamic websites and applications using popular technologies.,399.99
Digital Marketing Course,Learn strategies for online marketing and SEO optimization.,299.99
Cloud Computing Course,Understand cloud services and their deployment.,349.99
Cybersecurity Course,Gain skills to protect systems and data from cyber threats.,399.99
Blockchain Course,Explore decentralized technology and cryptocurrencies.,299.99
Business Analytics Course,Use analytics to drive business decisions and strategies.,499.99
DevOps Course,Learn to automate and manage development processes.,349.99
Python Programming Course,Understand Python for data analysis and machine learning.,249.99
R Programming Course,Use R for statistical analysis and data visualization.,199.99
Statistics Course,Explore concepts and applications of statistics.,149.99
Big Data Course,Work with large datasets using big data technologies.,299.99
Data Visualization Course,Create compelling visualizations to communicate data insights.,349.99
Ethical Hacking Course,Learn to hack ethically and secure networks.,399.99
Project Management Course,Understand project management methodologies and tools.,199.99
Software Development Course,Develop software applications using various programming languages.,249.99
